,id,tytułpolski,tytułoryginalny,rokprodukcji,ulubione,ocena,komentarz,krajprodukcji,gatunek,data
507,219643,Zaginiony ląd,Land of the Lost,2009,,6,,USA,"Komedia, Przygodowy, Sci-Fi",2014-1-24
508,504129,Dredd,,2012,,8,,"Indie, RPA, USA, Wielka Brytania","Akcja, Sci-Fi",2014-1-23
509,596202,Maczeta zabija,Machete Kills,2013,,3,,"Rosja, USA",Akcja,2014-1-23
510,5772,Kosmiczna załoga,Galaxy Quest,1999,,9,,USA,"Komedia, Przygodowy, Sci-Fi",2014-1-21
511,1480,Niezniszczalny,Unbreakable,2000,,8,,USA,Thriller,2014-1-9
512,9078,Wyścig szczurów,Rat Race,2001,,8,,"Kanada, USA","Komedia, Przygodowy",2014-1-6
513,618823,Pacific Rim,,2013,,3,,USA,"Akcja, Sci-Fi",2013-12-23
514,627599,Igrzyska śmierci: W pierścieniu ognia,The Hunger Games: Catching Fire,2013,,7,,USA,"Akcja, Sci-Fi",2013-12-15
515,624892,Pokłosie,,2012,,8,,"Holandia, Polska, Rosja, Słowacja",Thriller,2013-12-15
516,345957,World War Z,,2013,,3,,"USA, Malta","Horror, Akcja",2013-12-15
517,8086,"Nic nie widziałem, nic nie słyszałem","See No Evil, Hear No Evil",1989,,6,,USA,Komedia kryminalna,2013-12-15
518,523230,Prometeusz,Prometheus,2012,,8,,"USA, Wielka Brytania","Horror, Sci-Fi",2013-12-14
519,600541,Królewna Śnieżka i Łowca,Snow White and the Huntsman,2012,,7,,USA,"Fantasy, Przygodowy",2013-12-14
520,505004,Wasza wysokość,Your Highness,2011,,7,,USA,"Fantasy, Komedia, Przygodowy",2013-11-28
521,564230,Grawitacja,Gravity,2013,,7,,"USA, Wielka Brytania","Dramat, Sci-Fi",2013-11-21
522,624742,7 psychopatów,Seven Psychopaths,2012,,6,,Wielka Brytania,Komedia kryminalna,2013-11-12
523,245424,Sierociniec,El Orfanato,2007,,8,,"Hiszpania, Meksyk","Dramat, Horror",2013-11-10
524,1313,Kabaret,Cabaret,1972,,6,,USA,"Dramat, Musical",2013-11-10
525,967,"Ja, Irena i Ja","Me, Myself & Irene",2000,tak,9,,USA,Komedia,2013-11-8
526,33510,Solaris,,2002,,3,,USA,"Dramat, Sci-Fi",2013-11-4
527,570991,Kobieta w czerni,The Woman in Black,2012,,8,,"Kanada, Szwecja, Wielka Brytania","Dramat, Horror",2013-11-2
528,507169,Labirynt,Prisoners,2013,,7,,USA,Thriller,2013-10-20
529,1168,Pieniądze to nie wszystko,,2001,,6,,Polska,Komedia obycz.,2013-10-18
530,641829,Inna seksmisja,Scarlet Road,2011,,8,,Australia,Dokumentalny,2013-10-16
531,33386,Starsza pani musi zniknąć,Duplex,2003,,6,,"Niemcy, USA",Czarna komedia,2013-10-13
532,562509,O północy w Paryżu,Midnight in Paris,2011,,7,,"Hiszpania, USA","Fantasy, Komedia rom.",2013-10-7
533,31866,Ghost in the Shell,Kōkaku Kidōtai,1995,,6,,Japonia,"Akcja, Sci-Fi, Anime",2013-10-5
534,336379,Wyrok śmierci,Death Sentence,2007,,6,,USA,Sensacyjny,2013-10-5
535,181219,Teksańska masakra piłą mechaniczną: Początek,The Texas Chainsaw Massacre: The Beginning,2006,,1,,USA,Horror,2013-9-19
536,5638,Fletch żyje,Fletch Lives,1989,,6,,USA,Komedia kryminalna,2013-9-19
537,935,Annie Hall,,1977,,9,,USA,Komedia obycz.,2013-9-18
538,5637,Fletch,,1985,,8,,USA,Komedia kryminalna,2013-9-17
539,581986,Kongres,The Congress,2013,,9,,"Belgia, Francja, Luksemburg, Niemcy, Polska, Izrael","Animacja, Dramat, Sci-Fi",2013-9-14
540,484297,Red,,2010,,7,,USA,"Komedia, Akcja",2013-9-9
541,659237,Gorący towar,The Heat,2013,,7,,USA,Komedia kryminalna,2013-9-8
542,599742,Rzeź,Carnage,2011,,6,,"Francja, Hiszpania, Niemcy, Polska","Dramat, Komedia",2013-9-6
543,420755,Maczeta,Machete,2010,,5,,USA,Akcja,2013-9-6
544,558960,Elizjum,Elysium,2013,,3,,USA,"Akcja, Sci-Fi",2013-9-6
545,30689,Gabinet doktora Caligari,Das Cabinet des Dr. Caligari,1920,,10,,Niemcy,"Horror, Niemy",2013-9-4
546,9987,Szybcy i martwi,The Quick and the Dead,1995,,4,,"Japonia, USA",Western,2013-8-28
547,631575,Śnieżka,Blancanieves,2012,tak,10,,"Belgia, Francja, Hiszpania","Dramat, Fantasy, Niemy",2013-8-24
548,654022,Świat w płomieniach,White House Down,2013,,3,,USA,"Thriller, Akcja",2013-8-23
549,259945,Prestiż,The Prestige,2006,tak,9,,"USA, Wielka Brytania","Dramat, Thriller",2013-8-14
550,470600,Confessions of a Superhero,,2007,,8,,USA,Dokumentalny,2013-8-8
551,463226,Megamocny,Megamind,2010,,4,,USA,"Animacja, Familijny, Komedia, Sci-Fi",2013-7-30
552,240275,9,,2009,,7,,USA,"Animacja, Przygodowy, Sci-Fi",2013-7-30
553,680500,Michael Haneke. Zawód: reżyser,Michael Haneke - Porträt eines Film-Handwerkers,2013,,6,,"Austria, Francja","Biograficzny, Dokumentalny",2013-7-26
554,97646,Maszyna śmierci,Death Machine,1994,,4,,Wielka Brytania,"Horror, Akcja, Sci-Fi",2013-7-26
555,33023,Odlotowa dziewczyna,Tank Girl,1995,,2,,USA,"Komedia, Akcja, Sci-Fi",2013-7-26
556,33076,Dealer,Pusher,1996,,7,,Dania,"Dramat, Sensacyjny",2013-7-25
557,305388,Człowiek ze stali,Man of Steel,2013,,6,,"Kanada, USA, Wielka Brytania","Akcja, Sci-Fi",2013-6-23
558,250272,Diabeł ubiera się u Prady,The Devil Wears Prada,2006,,6,,USA,"Dramat, Komedia",2013-6-20
559,124098,Wesele,,2004,tak,9,,Polska,"Dramat, Komedia",2013-6-20
560,609587,Rozstanie,Jodaeiye Nader az Simin,2011,,8,,Iran,Dramat,2013-6-19
561,287740,Renesans,Renaissance,2006,,5,,"Francja, Luksemburg, Wielka Brytania","Animacja, Thriller, Akcja, Sci-Fi",2013-6-15
562,428472,Jeż Jerzy,,2010,,2,,Polska,"Komedia obycz., Animacja dla dorosłych",2013-6-15
563,555859,Niebezpieczna metoda,A Dangerous Method,2011,,8,,"Kanada, Niemcy, Szwajcaria, Wielka Brytania","Biograficzny, Dramat",2013-6-7
564,601499,Wstyd,Shame,2011,tak,9,,Wielka Brytania,Dramat,2013-6-7
565,107377,Mechanik,El Maquinista,2004,,7,,"Francja, Hiszpania, USA, Wielka Brytania","Dramat, Thriller",2013-6-7
566,620541,Django,Django Unchained,2012,,9,,USA,Western,2013-5-29
567,391382,Valhalla: Mroczny wojownik,Valhalla Rising,2009,,8,,"Dania, Wielka Brytania","Dramat, Przygodowy",2013-5-29
568,104010,Osada,The Village,2004,tak,9,,USA,Thriller,2013-5-18
569,472258,Iron Sky,,2012,,4,,"Australia, Finlandia, Niemcy","Komedia, Akcja, Sci-Fi",2013-5-14
570,583390,Nietykalni,Intouchables,2011,,7,,Francja,"Biograficzny, Dramat, Komedia",2013-4-24
571,4185,Wielka draka w chińskiej dzielnicy,Big Trouble in Little China,1986,,9,,USA,"Fantasy, Komedia, Akcja",2013-4-24
572,631979,Drogówka,,2013,,8,,Polska,"Kryminał, Obyczajowy",2013-4-24
573,639024,Spring Breakers,,2012,,6,,USA,"Dramat, Kryminał",2013-4-24
574,535756,Niepamięć,Oblivion,2013,tak,9,,USA,"Akcja, Sci-Fi",2013-4-20
575,638502,It's Such a Beautiful Day,,2011,tak,8,,USA,"Animacja, Komedia, Krótkometrażowy",2013-4-19
576,208687,1408,,2007,,6,,USA,Horror,2013-3-22
577,202908,Labirynt fauna,El laberinto del fauno,2006,tak,8,,"Hiszpania, Meksyk, USA","Dramat, Fantasy",2013-2-24
