ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,originalTitle,startYear,genre_eng,titleType,primaryTitle,isAdult,endYear,runtimeMinutes,genres,averageRating,numVotes,similarity,diff,averageRating_int
461432,Parnassus,The Imaginarium of Doctor Parnassus,2009,1,9,"Francja, Kanada, Wielka Brytania","Fantasy, Przygodowy",2010-6-1,The Imaginarium of Doctor Parnassus,2009,"fantasy, przygodowy",movie,The Imaginarium of Doctor Parnassus,0,\N,123,"Adventure,Comedy,Fantasy",6.8,140312,0,2.2,7
461946,Zapaśnik,The Wrestler,2008,0,8,"Francja, USA","Dramat obyczajowy, Sportowy",2011-7-5,The Wrestler,2008,"dramat obyczajowy, sportowy",movie,The Wrestler,0,\N,109,"Drama,Sport",7.9,280706,0,0.09999999999999964,8
463226,Megamocny,Megamind,2010,0,4,USA,"Animacja, Familijny, Komedia, Sci-Fi",2013-7-30,Megamind,2010,"animacja, familijny, comedy, sci-fi",movie,Megamind,0,\N,95,"Action,Animation,Comedy",7.2,213926,0,-3.2,7
463455,Istota,Splice,2009,0,8,"Francja, Kanada, USA","Thriller, Sci-Fi",2016-9-7,Splice,2009,"thriller, sci-fi",movie,Splice,0,\N,104,"Drama,Horror,Sci-Fi",5.7,89392,0,2.3,6
464256,Wyspa tajemnic,Shutter Island,2010,0,9,USA,"Dramat, Thriller",2011-1-4,Shutter Island,2010,"drama, thriller",movie,Shutter Island,0,\N,138,"Mystery,Thriller",8.1,1041588,0,0.9000000000000004,8
464478,Dystrykt 9,District 9,2009,1,8,"Kanada, Nowa Zelandia, RPA, USA","Dramat, Sci-Fi",2010-6-1,District 9,2009,"drama, sci-fi",movie,District 9,0,\N,112,"Action,Sci-Fi,Thriller",7.9,614943,0,0.09999999999999964,8
465818,Alicja w Krainie Czarów,Alice in Wonderland,2010,0,6,USA,"Familijny, Fantasy, Przygodowy",2011-1-14,Alice in Wonderland,2010,"familijny, fantasy, przygodowy",movie,Alice in Wonderland,0,\N,108,"Adventure,Family,Fantasy",6.4,366073,0,-0.40000000000000036,6
465839,Śmierć nadejdzie dziś,Happy Death Day,2017,0,7,USA,Horror,2017-11-6,Happy Death Day,2017,horror,movie,Happy Death Day,0,\N,96,"Horror,Mystery,Thriller",6.5,99400,0,0.5,6
468296,Slumdog. Milioner z ulicy,Slumdog Millionaire,2008,0,6,Wielka Brytania,Dramat,2010-6-1,Slumdog Millionaire,2008,drama,movie,Slumdog Millionaire,0,\N,120,"Drama,Romance",8.0,761874,0,-2.0,8
4713,Coś,The Thing,1982,0,8,USA,"Horror, Sci-Fi",2010-6-9,The Thing,1982,"horror, sci-fi",movie,The Thing,0,\N,109,"Horror,Mystery,Sci-Fi",8.1,343634,0,-0.09999999999999964,8
472800,Krwawe walentynki,My Bloody Valentine,2009,0,4,USA,Horror,2015-9-20,My Bloody Valentine,2009,horror,movie,My Bloody Valentine,0,\N,101,"Horror,Mystery,Thriller",5.4,51797,0,-1.4000000000000004,5
472866,Wielkie oczy,Big Eyes,2014,0,7,USA,"Biograficzny, Dramat",2015-1-8,Big Eyes,2014,"biographic, drama",movie,Big Eyes,0,\N,106,"Biography,Crime,Drama",7.0,80054,0,0.0,7
476276,Święci z Bostonu II - Dzień Wszystkich Świętych,The Boondock Saints II: All Saints Day,2009,0,3,USA,"Kryminał, Sensacyjny",2017-3-12,The Boondock Saints II: All Saints Day,2009,"crime, sensacyjny",movie,The Boondock Saints II: All Saints Day,0,\N,118,"Action,Crime,Thriller",6.3,59525,0,-3.3,6
479133,To już jest koniec,The World's End,2013,0,7,"Japonia, USA, Wielka Brytania","Komedia, Akcja, Sci-Fi",2014-10-7,The World's End,2013,"comedy, action, sci-fi",movie,The World's End,0,\N,109,"Action,Comedy,Sci-Fi",7.0,243697,0,0.0,7
479701,Legendy sowiego królestwa: Strażnicy Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,2010,0,7,"Australia, USA","Animacja, Przygodowy",2015-11-6,Legend of the Guardians: The Owls of Ga'Hoole,2010,"animacja, przygodowy",movie,Legend of the Guardians: The Owls of Ga'Hoole,0,\N,97,"Action,Adventure,Animation",6.9,74978,0,0.09999999999999964,7
479892,Mary i Max,Mary and Max,2009,0,8,Australia,"Animacja, Dramat, Komedia",2018-12-1,Mary and Max,2009,"animacja, drama, comedy",movie,Mary and Max,0,\N,92,"Animation,Comedy,Drama",8.1,154878,0,-0.09999999999999964,8
480036,"Co nas kręci, co nas podnieca",Whatever Works,2009,0,8,"Francja, USA",Komedia obycz.,2010-6-1,Whatever Works,2009,komedia obycz.,movie,Whatever Works,0,\N,93,"Comedy,Romance",7.1,68080,0,0.9000000000000004,7
482800,Diabelska plansza Ouija,Ouija,2014,0,6,USA,Horror,2014-11-20,Ouija,2014,horror,movie,Ouija,0,\N,89,"Horror,Mystery,Thriller",4.5,45304,0,1.5,4
4833,Człowiek z blizną,Scarface,1983,1,8,USA,"Dramat, Gangsterski",2010-6-1,Scarface,1983,"drama, gangsterski",movie,Scarface,0,\N,170,"Crime,Drama",8.3,686097,0,-0.3000000000000007,8
483333,Mroczne cienie,Dark Shadows,2012,0,3,"Australia, USA, Wielka Brytania","Fantasy, Horror, Komedia",2014-10-18,Dark Shadows,2012,"fantasy, horror, comedy",movie,Dark Shadows,0,\N,113,"Comedy,Fantasy,Horror",6.2,235629,0,-3.2,6
483659,Horda,La horde,2009,0,6,Francja,Horror,2015-8-29,La horde,2009,horror,movie,The Horde,0,\N,90,"Action,Horror",5.9,14689,0,0.09999999999999964,6
485716,Całe życie z wariatami,Shrink,2009,0,8,USA,Dramat,2014-9-2,Shrink,2009,drama,movie,Shrink,0,\N,104,"Comedy,Drama",6.7,17898,0,1.2999999999999998,7
486130,300: Początek imperium,300: Rise of an Empire,2014,0,5,USA,"Dramat, Akcja",2015-9-7,300: Rise of an Empire,2014,"drama, action",movie,300: Rise of an Empire,0,\N,102,Action,6.2,268772,0,-1.2000000000000002,6
487211,Kac Vegas,The Hangover,2009,0,5,"Niemcy, USA",Komedia,2010-6-1,The Hangover,2009,comedy,movie,The Hangover,0,\N,100,Comedy,7.7,684304,0,-2.7,8
487684,Dom w głębi lasu,The Cabin in the Woods,2011,0,9,USA,Horror,2016-2-12,The Cabin in the Woods,2011,horror,movie,The Cabin in the Woods,0,\N,95,Horror,7.0,349182,0,2.0,7
