,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,movieId,tmdbId,link,ml_title,ml_genres,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,genre_eng,similarity,diff,averageRating_int
tt1614989,movie,Headhunters,Hodejegerne,0,2011,\N,96,"Action,Crime,Thriller",7.5,92718,90600,70670,https://www.imdb.com/title/tt1614989/,1614989,70670,567959,Łowcy głów,Hodejegerne,2011,0,6,"Niemcy, Norwegia","Kryminał, Thriller",2012-7-17,2012,3.0,"crime, thriller",0,-1.5,8
tt1615065,movie,Savages,Savages,0,2012,\N,131,"Crime,Drama,Thriller",6.5,117271,95583,82525,https://www.imdb.com/title/tt1615065/,1615065,82525,572325,Savages: Ponad bezprawiem,Savages,2012,0,6,USA,"Kryminał, Thriller",2012-11-27,2012,3.0,"crime, thriller",0,-0.5,6
tt1615147,movie,Margin Call,Margin Call,0,2011,\N,107,"Drama,Thriller",7.1,109602,90439,50839,https://www.imdb.com/title/tt1615147/,1615147,50839,568905,Chciwość,Margin Call,2011,0,7,USA,"Dramat, Thriller",2012-1-5,2012,3.5,"drama, thriller",0,-0.09999999999999964,7
tt1617661,movie,Jupiter Ascending,Jupiter Ascending,0,2015,\N,127,"Action,Adventure,Sci-Fi",5.3,170555,113345,76757,https://www.imdb.com/title/tt1617661/,1617661,76757,654721,Jupiter: Intronizacja,Jupiter Ascending,2015,0,5,"Australia, USA","Akcja, Sci-Fi",2015-2-17,2015,2.5,"action, sci-fi",0,-0.2999999999999998,5
tt1618442,movie,The Last Witch Hunter,The Last Witch Hunter,0,2015,\N,106,"Action,Adventure,Fantasy",6.0,89091,135532,274854,https://www.imdb.com/title/tt1618442/,1618442,274854,644817,Łowca czarownic,The Last Witch Hunter,2015,0,5,"Chiny, Kanada, USA","Fantasy, Przygodowy",2016-2-29,2016,2.5,"fantasy, przygodowy",0,-1.0,6
tt1625346,movie,Young Adult,Young Adult,0,2011,\N,94,"Comedy,Drama",6.2,76013,91622,57157,https://www.imdb.com/title/tt1625346/,1625346,57157,593984,Kobieta na skraju dojrzałości,Young Adult,2011,0,3,USA,"Dramat, Komedia",2012-6-25,2012,1.5,"drama, comedy",0,-3.2,6
tt1631867,movie,Edge of Tomorrow,Edge of Tomorrow,0,2014,\N,113,"Action,Sci-Fi",7.9,562558,111759,137113,https://www.imdb.com/title/tt1631867/,1631867,137113,577622,Na skraju jutra,Edge of Tomorrow,2014,0,3,"Kanada, USA","Akcja, Sci-Fi",2014-7-28,2014,1.5,"action, sci-fi",0,-4.9,8
tt1637688,movie,In Time,In Time,0,2011,\N,109,"Action,Sci-Fi,Thriller",6.7,352675,90405,49530,https://www.imdb.com/title/tt1637688/,1637688,49530,587175,Wyścig z czasem,In Time,2011,0,5,USA,"Thriller, Akcja, Sci-Fi",2012-1-4,2012,2.5,"thriller, action, sci-fi",0,-1.7000000000000002,7
tt1638355,movie,The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,0,2015,\N,116,"Action,Adventure,Comedy",7.3,247933,138036,203801,https://www.imdb.com/title/tt1638355/,1638355,203801,583309,Kryptonim U.N.C.L.E.,The Man from U.N.C.L.E.,2015,0,6,"USA, Wielka Brytania","Komedia, Akcja",2015-9-30,2015,3.0,"comedy, action",0,-1.2999999999999998,7
tt1645170,movie,The Dictator,The Dictator,0,2012,\N,83,Comedy,6.4,257129,94677,76493,https://www.imdb.com/title/tt1645170/,1645170,76493,614257,Dyktator,The Dictator,2012,0,7,USA,Komedia,2012-5-24,2012,3.5,comedy,0,0.5999999999999996,6
tt1648190,movie,The Dark Tower,The Dark Tower,0,2017,\N,95,"Action,Adventure,Fantasy",5.6,116668,175197,353491,https://www.imdb.com/title/tt1648190/,1648190,353491,592775,Mroczna wieża,The Dark Tower,2017,0,3,USA,"Fantasy, Horror",2017-10-19,2017,1.5,"fantasy, horror",0,-2.5999999999999996,6
tt1656190,movie,Safe,Safe,0,2012,\N,94,"Action,Crime,Thriller",6.5,98260,94405,72387,https://www.imdb.com/title/tt1656190/,1656190,72387,572703,Protektor,Safe,2012,0,4,USA,"Kryminał, Akcja",2013-5-18,2013,2.0,"crime, action",0,-2.5,6
tt1658837,movie,The Tall Man,The Tall Man,0,2012,\N,106,"Crime,Drama,Horror",5.9,37256,96964,86597,https://www.imdb.com/title/tt1658837/,1658837,86597,592693,Człowiek z Cold Rock,The Tall Man,2012,0,6,"Francja, Kanada, USA",Thriller,2012-9-10,2012,3.0,thriller,0,0.09999999999999964,6
tt1659337,movie,The Perks of Being a Wallflower,The Perks of Being a Wallflower,0,2012,\N,103,"Drama,Romance",8.0,431660,96821,84892,https://www.imdb.com/title/tt1659337/,1659337,84892,572639,Charlie,The Perks of Being a Wallflower,2012,0,7,USA,Melodramat,2013-3-27,2013,3.5,melodramat,0,-1.0,8
tt1661382,movie,Grudge Match,Grudge Match,0,2013,\N,113,"Comedy,Drama,Sport",6.4,55321,107702,64807,https://www.imdb.com/title/tt1661382/,1661382,64807,603080,Legendy ringu,Grudge Match,2013,0,4,USA,"Komedia, Sportowy",2014-7-31,2014,2.0,"comedy, sportowy",0,-2.4000000000000004,6
tt1663202,movie,The Revenant,The Revenant,0,2015,\N,156,"Action,Adventure,Biography",8.0,647703,139385,281957,https://www.imdb.com/title/tt1663202/,1663202,281957,586583,Zjawa,The Revenant,2015,0,7,"Hongkong, USA, Tajwan","Dramat, Przygodowy, Western",2016-1-1,2016,3.5,"drama, przygodowy, western",0,-1.0,8
tt1670345,movie,Now You See Me,Now You See Me,0,2013,\N,115,"Crime,Mystery,Thriller",7.3,565445,102903,75656,https://www.imdb.com/title/tt1670345/,1670345,75656,623761,Iluzja,Now You See Me,2013,0,5,"Francja, USA",Kryminał,2013-9-26,2013,2.5,crime,0,-2.3,7
tt1675434,movie,The Intouchables,Intouchables,0,2011,\N,112,"Biography,Comedy,Drama",8.5,702256,92259,77338,https://www.imdb.com/title/tt1675434/,1675434,77338,583390,Nietykalni,Intouchables,2011,0,7,Francja,"Biograficzny, Dramat, Komedia",2013-10-13,2013,3.5,"biographic, drama, comedy",0,-1.5,8
tt1683526,movie,Detachment,Detachment,0,2011,\N,98,Drama,7.7,71462,93790,74308,https://www.imdb.com/title/tt1683526/,1683526,74308,587177,Z dystansu,Detachment,2011,0,7,USA,Dramat,2012-9-4,2012,3.5,drama,0,-0.7000000000000002,8
tt1692486,movie,Carnage,Carnage,0,2011,\N,80,"Comedy,Drama",7.2,113781,90430,72113,https://www.imdb.com/title/tt1692486/,1692486,72113,599742,Rzeź,Carnage,2011,0,7,"Francja, Hiszpania, Niemcy, Polska","Dramat, Komedia",2012-1-30,2012,3.5,"drama, comedy",0,-0.20000000000000018,7
tt1694020,movie,The Guilt Trip,The Guilt Trip,0,2012,\N,95,"Comedy,Drama",5.7,34198,99106,82687,https://www.imdb.com/title/tt1694020/,1694020,82687,613601,Mama i ja,The Guilt Trip,2012,0,4,USA,Komedia,2013-6-25,2013,2.0,comedy,0,-1.7000000000000002,6
tt1703957,movie,Genius,Genius,0,2016,\N,104,"Biography,Drama",6.5,16309,160400,267192,https://www.imdb.com/title/tt1703957/,1703957,267192,597664,Geniusz,Genius,2016,0,6,"USA, Wielka Brytania","Biograficzny, Dramat",2017-6-25,2017,3.0,"biographic, drama",0,-0.5,6
tt1706620,movie,Snowpiercer,Snowpiercer,0,2013,\N,126,"Action,Drama,Sci-Fi",7.1,254501,107406,110415,https://www.imdb.com/title/tt1706620/,1706620,110415,649608,Snowpiercer: Arka przyszłości,Snowpiercer,2013,0,6,"Czechy, Francja, USA, Korea Południowa","Thriller, Akcja, Sci-Fi",2014-3-24,2014,3.0,"thriller, action, sci-fi",0,-1.0999999999999996,7
tt1714915,movie,Only Lovers Left Alive,Only Lovers Left Alive,0,2013,\N,123,"Comedy,Drama,Fantasy",7.3,83933,107771,152603,https://www.imdb.com/title/tt1714915/,1714915,152603,650619,Tylko kochankowie przeżyją,Only Lovers Left Alive,2013,0,8,"Francja, Grecja, Niemcy, USA, Wielka Brytania, Cypr","Horror, Romans",2014-11-5,2014,4.0,"horror, romance",0,0.7000000000000002,7
tt1723121,movie,We're the Millers,We're the Millers,0,2013,\N,110,"Comedy,Crime",7.0,380992,104211,138832,https://www.imdb.com/title/tt1723121/,1723121,138832,152844,Millerowie,We're the Millers,2013,0,6,USA,Komedia kryminalna,2013-9-18,2013,3.0,komedia kryminalna,0,-1.0,7
tt1723811,movie,Shame,Shame,0,2011,\N,101,Drama,7.2,174703,90531,76025,https://www.imdb.com/title/tt1723811/,1723811,76025,601499,Wstyd,Shame,2011,0,5,Wielka Brytania,Dramat,2019-3-16,2019,2.5,drama,0,-2.2,7
tt1726669,movie,Killer Joe,Killer Joe,0,2011,\N,102,"Crime,Drama,Thriller",6.7,69151,95761,73567,https://www.imdb.com/title/tt1726669/,1726669,73567,603315,Zabójczy Joe,Killer Joe,2011,0,7,USA,"Kryminał, Thriller",2015-8-21,2015,3.5,"crime, thriller",0,0.2999999999999998,7
tt1727388,movie,The Way Way Back,The Way Way Back,0,2013,\N,103,"Comedy,Drama",7.4,134702,102993,147773,https://www.imdb.com/title/tt1727388/,1727388,147773,640445,Najlepsze najgorsze wakacje,The Way Way Back,2013,0,4,USA,"Dramat, Komedia",2014-2-16,2014,2.0,"drama, comedy",0,-3.4000000000000004,7
tt1731141,movie,Ender's Game,Ender's Game,0,2013,\N,114,"Action,Adventure,Fantasy",6.6,214920,106002,80274,https://www.imdb.com/title/tt1731141/,1731141,80274,163903,Gra Endera,Ender's Game,2013,0,4,USA,"Akcja, Sci-Fi",2014-2-13,2014,2.0,"action, sci-fi",0,-2.5999999999999996,7
tt1735898,movie,Snow White and the Huntsman,Snow White and the Huntsman,0,2012,\N,127,"Action,Adventure,Drama",6.1,263115,94780,58595,https://www.imdb.com/title/tt1735898/,1735898,58595,600541,Królewna Śnieżka i Łowca,Snow White and the Huntsman,2012,0,6,USA,"Fantasy, Przygodowy",2012-6-4,2012,3.0,"fantasy, przygodowy",0,-0.09999999999999964,6
tt1741273,movie,Secret in Their Eyes,Secret in Their Eyes,0,2015,\N,111,"Crime,Drama,Mystery",6.3,39068,140525,290751,https://www.imdb.com/title/tt1741273/,1741273,290751,625905,Sekret w ich oczach,Secret in Their Eyes,2015,0,6,USA,"Kryminał, Thriller",2016-1-12,2016,3.0,"crime, thriller",0,-0.2999999999999998,6
tt1748122,movie,Moonrise Kingdom,Moonrise Kingdom,0,2012,\N,94,"Comedy,Drama,Romance",7.8,298906,94959,83666,https://www.imdb.com/title/tt1748122/,1748122,83666,604523,Kochankowie z Księżyca. Moonrise Kingdom,Moonrise Kingdom,2012,0,6,USA,"Dramat, Komedia, Romans",2012-12-21,2012,3.0,"drama, comedy, romance",0,-1.7999999999999998,8
tt1764651,movie,The Expendables 2,The Expendables 2,0,2012,\N,103,"Action,Adventure,Thriller",6.6,282174,91485,76163,https://www.imdb.com/title/tt1764651/,1764651,76163,595010,Niezniszczalni 2,The Expendables 2,2012,0,7,USA,Akcja,2012-9-7,2012,3.5,action,0,0.40000000000000036,7
tt1788391,movie,Kill List,Kill List,0,2011,\N,95,"Crime,Drama,Horror",6.4,33943,89837,74725,https://www.imdb.com/title/tt1788391/,1788391,74725,608508,Lista płatnych zleceń,Kill List,2011,0,7,Wielka Brytania,"Kryminał, Thriller",2012-8-28,2012,3.5,"crime, thriller",0,0.5999999999999996,6
tt1790864,movie,The Maze Runner,The Maze Runner,0,2014,\N,113,"Action,Mystery,Sci-Fi",6.8,395892,114180,198663,https://www.imdb.com/title/tt1790864/,1790864,198663,609757,Więzień labiryntu,The Maze Runner,2014,0,6,"Kanada, USA, Wielka Brytania","Thriller, Akcja, Sci-Fi",2014-11-28,2014,3.0,"thriller, action, sci-fi",0,-0.7999999999999998,7
tt1790885,movie,Zero Dark Thirty,Zero Dark Thirty,0,2012,\N,157,"Drama,Thriller",7.4,257001,98961,97630,https://www.imdb.com/title/tt1790885/,1790885,97630,632382,Wróg numer jeden,Zero Dark Thirty,2012,0,7,USA,"Thriller, Szpiegowski",2015-7-26,2015,3.5,"thriller, szpiegowski",0,-0.40000000000000036,7
tt1798684,movie,Southpaw,Southpaw,0,2015,\N,124,"Drama,Sport",7.4,205301,139642,307081,https://www.imdb.com/title/tt1798684/,1798684,307081,609966,Do utraty sił,Southpaw,2015,0,7,USA,"Dramat, Sportowy",2015-9-9,2015,3.5,"drama, sportowy",0,-0.40000000000000036,7
tt1798709,movie,Her,Her,0,2013,\N,126,"Drama,Romance,Sci-Fi",8.0,491010,106920,152601,https://www.imdb.com/title/tt1798709/,1798709,152601,646395,Ona,Her,2013,0,7,USA,"Melodramat, Sci-Fi",2014-2-23,2014,3.5,"melodramat, sci-fi",0,-1.0,8
tt1809398,movie,Unbroken,Unbroken,0,2014,\N,137,"Biography,Drama,Sport",7.2,133456,118702,227306,https://www.imdb.com/title/tt1809398/,1809398,227306,693142,Niezłomny,Unbroken,2014,0,4,USA,"Biograficzny, Dramat, Wojenny",2015-5-30,2015,2.0,"biographic, drama, war",0,-3.2,7
