tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,genre_eng,similarity,diff,averageRating_int
tt1077368,movie,Dark Shadows,Dark Shadows,0,2012,\N,113,"Comedy,Fantasy,Horror",6.2,235691,483333,Mroczne cienie,Dark Shadows,2012,0,6,"Australia, USA, Wielka Brytania","Fantasy, Horror, Komedia",2017-5-7,3.0,"fantasy, horror, comedy",0,-0.20000000000000018,6
tt1206543,movie,Out of the Furnace,Out of the Furnace,0,2013,\N,116,"Action,Crime,Drama",6.8,101052,484466,Zrodzony w ogniu,Out of the Furnace,2013,0,7,"USA, Wielka Brytania",Thriller,2017-11-19,3.5,thriller,0,0.20000000000000018,7
tt1232200,movie,That's My Boy,That's My Boy,0,2012,\N,116,Comedy,5.5,85462,484600,"Spadaj, tato",That's My Boy,2012,0,2,USA,Komedia,2013-1-24,1.0,comedy,0,-3.5,6
tt1216491,movie,Kill the Messenger,Kill the Messenger,0,2014,\N,112,"Biography,Crime,Drama",6.9,42322,484601,Wyrok za prawdę,Kill the Messenger,2014,0,6,USA,"Biograficzny, Dramat, Kryminał",2016-6-3,3.0,"biographic, drama, crime",0,-0.9000000000000004,7
tt1242460,movie,We Need to Talk About Kevin,We Need to Talk About Kevin,0,2011,\N,112,"Drama,Mystery,Thriller",7.5,127469,485802,Musimy porozmawiać o Kevinie,We Need to Talk About Kevin,2011,0,7,"USA, Wielka Brytania","Dramat, Psychologiczny",2012-9-17,3.5,"drama, psychologiczny",0,-0.5,8
tt1119646,movie,The Hangover,The Hangover,0,2009,\N,100,Comedy,7.7,684455,487211,Kac Vegas,The Hangover,2009,0,3,"Niemcy, USA",Komedia,2011-8-4,1.5,comedy,0,-4.7,8
tt1259521,movie,The Cabin in the Woods,The Cabin in the Woods,0,2011,\N,95,Horror,7.0,349285,487684,Dom w głębi lasu,The Cabin in the Woods,2011,0,4,USA,Horror,2012-5-13,2.0,horror,0,-3.0,7
tt1294688,movie,Last Night,Last Night,0,2010,\N,93,"Drama,Romance",6.6,45358,490841,Zeszłej nocy,Last Night,2010,0,6,"Francja, USA",Melodramat,2012-11-8,3.0,melodramat,0,-0.5999999999999996,7
tt1289401,movie,Ghostbusters,Ghostbusters,0,2016,\N,116,"Action,Comedy,Fantasy",5.2,193381,491609,Ghostbusters. Pogromcy duchów,Ghostbusters,2016,0,3,USA,"Komedia, Akcja, Sci-Fi",2016-11-20,1.5,"comedy, action, sci-fi",0,-2.2,5
tt1217637,movie,Anything for Her,Pour elle,0,2008,\N,96,"Crime,Drama,Thriller",7.1,8268,492133,Dla niej wszystko,Pour elle,2008,0,5,Francja,"Dramat, Thriller",2013-9-27,2.5,"drama, thriller",0,-2.0999999999999996,7
tt1243974,movie,Aloha,Aloha,0,2015,\N,105,"Comedy,Drama,Romance",5.4,57283,492946,Witamy na Hawajach,Aloha,2015,0,6,USA,"Przygodowy, Komedia rom.",2015-9-10,3.0,"przygodowy, komedia rom.",0,0.5999999999999996,5
tt1315981,movie,A Single Man,A Single Man,0,2009,\N,99,"Drama,Romance",7.6,101261,493189,Samotny mężczyzna,A Single Man,2009,0,6,USA,Dramat,2011-10-19,3.0,drama,0,-1.5999999999999996,8
tt1212419,movie,Hereafter,Hereafter,0,2010,\N,129,"Drama,Fantasy,Romance",6.4,88204,493926,Medium,Hereafter,2010,0,4,USA,"Dramat, Fantasy",2012-2-6,2.0,"drama, fantasy",0,-2.4000000000000004,6
tt1223934,movie,The Door,Die Tür,0,2009,\N,103,"Drama,Mystery,Sci-Fi",6.7,4804,493963,Drzwi,Die Tür,2009,0,7,Niemcy,Thriller,2015-11-2,3.5,thriller,0,0.2999999999999998,7
tt1322398,movie,The Last Death,La última muerte,0,2011,\N,104,"Sci-Fi,Thriller",5.8,336,496157,Ostatnia śmierć,La última muerte,2011,0,3,Meksyk,"Thriller, Sci-Fi",2014-1-19,1.5,"thriller, sci-fi",0,-2.8,6
