tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,KrajKod,genre_eng,similarity,diff,averageRating_int
tt0079470,movie,Monty Python's Life of Brian,Life of Brian,0,1979,\N,94,Comedy,8.1,344267,1099,Żywot Briana,Life of Brian,1979,1,8,Wielka Brytania,Komedia,2010-6-1,2010,4.0,['GBR'],comedy,0,-0.09999999999999964,8
tt0387877,movie,The Black Dahlia,The Black Dahlia,0,2006,\N,121,"Crime,Drama,Mystery",5.6,69265,109908,Czarna Dalia,The Black Dahlia,2006,0,6,"Francja, Niemcy, USA",Kryminał,2018-3-28,2018,3.0,"['FRA', 'DEU', 'USA']",crime,0,0.40000000000000036,6
tt0085959,movie,The Meaning of Life,The Meaning of Life,0,1983,\N,107,"Comedy,Musical",7.6,107623,1100,Sens życia wg Monty Pythona,The Meaning of Life,1983,0,7,Wielka Brytania,Komedia,2010-6-1,2010,3.5,['GBR'],comedy,0,-0.5999999999999996,8
tt0063522,movie,Rosemary's Baby,Rosemary's Baby,0,1968,\N,137,"Drama,Horror",8.0,177496,1104,Dziecko Rosemary,Rosemary's Baby,1968,1,9,USA,"Horror, Psychologiczny",2010-6-1,2010,4.5,['USA'],"horror, psychologiczny",0,1.0,8
tt0060268,movie,Cul-de-sac,Cul-de-sac,0,1966,\N,112,"Comedy,Drama,Thriller",7.1,10766,1109,Matnia,Cul-de-sac,1966,0,7,Wielka Brytania,"Dramat, Komedia",2010-6-1,2010,3.5,['GBR'],"drama, comedy",0,-0.09999999999999964,7
tt0044081,movie,A Streetcar Named Desire,A Streetcar Named Desire,0,1951,\N,122,Drama,8.0,93635,11173,Tramwaj zwany pożądaniem,A Streetcar Named Desire,1951,0,8,USA,Dramat,2015-2-16,2015,4.0,['USA'],drama,0,0.0,8
tt0401792,movie,Sin City,Sin City,0,2005,\N,124,"Crime,Thriller",8.0,722921,112584,Sin City - Miasto grzechu,Sin City,2005,1,8,USA,Kryminał,2010-6-1,2010,4.0,['USA'],crime,0,0.0,8
tt0093894,movie,The Running Man,The Running Man,0,1987,\N,101,"Action,Sci-Fi,Thriller",6.7,134168,11312,Uciekinier,The Running Man,1987,0,8,USA,"Akcja, Sci-Fi",2019-9-18,2019,4.0,['USA'],"action, sci-fi",0,1.2999999999999998,7
tt0106856,movie,Falling Down,Falling Down,0,1993,\N,113,"Crime,Drama,Thriller",7.6,159689,11398,Upadek,Falling Down,1993,1,9,"Francja, USA, Wielka Brytania",Thriller,2010-6-9,2010,4.5,"['FRA', 'USA', 'GBR']",thriller,0,1.4000000000000004,8
tt0228687,movie,Greedy Guts,Otesánek,0,2000,\N,132,"Animation,Comedy,Drama",7.3,5706,114091,Mały Otik,Otesánek,2000,0,9,"Czechy, Japonia, Wielka Brytania","Dramat, Fantasy, Czarna komedia",2014-11-17,2014,4.5,"['CZE', 'JPN', 'GBR']","drama, fantasy, czarna komedia",0,1.7000000000000002,7
tt0086541,movie,Videodrome,Videodrome,0,1983,\N,87,"Horror,Sci-Fi,Thriller",7.3,77228,11456,Wideodrom,Videodrome,1983,0,6,Kanada,"Thriller, Sci-Fi",2016-12-9,2016,3.0,['CAN'],"thriller, sci-fi",0,-1.2999999999999998,7
tt0391198,movie,The Grudge,The Grudge,0,2004,\N,91,"Horror,Mystery,Thriller",5.9,133967,114960,The Grudge - Klątwa,The Grudge,2004,0,7,"Japonia, USA",Horror,2010-6-2,2010,3.5,"['JPN', 'USA']",horror,0,1.0999999999999996,6
tt0364569,movie,Oldboy,Oldeuboi,0,2003,\N,120,"Action,Drama,Mystery",8.4,475284,115059,Oldboy,Oldeuboi,2003,0,8,Korea Południowa,Thriller,2010-6-2,2010,4.0,['KOR'],thriller,0,-0.40000000000000036,8
tt0078480,movie,Watership Down,Watership Down,0,1978,\N,91,"Adventure,Animation,Drama",7.6,31797,11558,Wzgórze królików,Watership Down,1978,0,8,"Kanada, Wielka Brytania","Animacja, Dramat, Baśń",2015-10-16,2015,4.0,"['CAN', 'GBR']","animacja, drama, baśń",0,0.40000000000000036,8
tt0388795,movie,Brokeback Mountain,Brokeback Mountain,0,2005,\N,134,"Drama,Romance",7.7,306703,116327,Tajemnica Brokeback Mountain,Brokeback Mountain,2005,1,8,"Kanada, USA",Melodramat,2010-6-1,2010,4.0,"['CAN', 'USA']",melodramat,0,0.2999999999999998,8
tt0114898,movie,Waterworld,Waterworld,0,1995,\N,135,"Action,Adventure,Sci-Fi",6.2,170966,11752,Wodny świat,Waterworld,1995,0,6,USA,"Przygodowy, Sci-Fi",2010-6-2,2010,3.0,['USA'],"przygodowy, sci-fi",0,-0.20000000000000018,6
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003,\N,201,"Adventure,Drama,Fantasy",8.9,1544318,11841,Władca Pierścieni: Powrót króla,The Lord of the Rings: The Return of the King,2003,0,6,"Nowa Zelandia, USA","Fantasy, Przygodowy",2010-6-9,2010,3.0,"['NZL', 'USA']","fantasy, przygodowy",0,-2.9000000000000004,9
tt0105236,movie,Reservoir Dogs,Reservoir Dogs,0,1992,\N,99,"Crime,Drama,Thriller",8.3,858289,11843,Wściekłe psy,Reservoir Dogs,1992,0,6,USA,"Thriller, Gangsterski",2010-6-1,2010,3.0,['USA'],"thriller, gangsterski",0,-2.3000000000000007,8
tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,\N,77,"Animation,Drama,Family",7.3,229200,118497,Gnijąca panna młoda,Corpse Bride,2005,1,8,"USA, Wielka Brytania","Animacja, Czarna komedia",2010-6-1,2010,4.0,"['USA', 'GBR']","animacja, czarna komedia",0,0.7000000000000002,7
tt0398712,movie,Assault on Precinct 13,Assault on Precinct 13,0,2005,\N,109,"Action,Crime,Drama",6.3,71527,118735,Atak na posterunek,Assault on Precinct 13,2005,0,6,"Francja, USA","Thriller, Akcja",2017-2-12,2017,3.0,"['FRA', 'USA']","thriller, action",0,-0.2999999999999998,6
