,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Komentarz,Kraj produkcji,Gatunek,Data
581,680642,Locke,,2013,,7,,"USA, Wielka Brytania","Dramat, Thriller",2014-10-3
582,226856,Małe dzieci,Little Children,2006,,8,,USA,Melodramat,2014-9-30
583,581986,Kongres,The Congress,2013,,8,,"Belgia, Francja, Luksemburg, Niemcy, Polska, Izrael","Animacja, Dramat, Sci-Fi",2014-9-29
584,664897,Hardkor Disko,,2014,,6,,Polska,Dramat,2014-9-21
585,645955,Transformers: Wiek zagłady,Transformers: Age of Extinction,2014,,7,,"Chiny, USA","Akcja, Sci-Fi",2014-9-21
586,657591,Droga przez Teksas,Prince Avalanche,2013,,7,,USA,"Dramat, Komedia",2014-9-21
587,648127,Casanova po przejściach,Fading Gigolo,2013,,6,,USA,Komedia,2014-9-21
588,107974,Monster,,2003,,9,,"Niemcy, USA","Biograficzny, Dramat",2014-9-21
589,655880,Ostatnia szansa Matta,Matt's Chance,2013,,5,,USA,"Dramat, Komedia",2014-9-21
590,557330,Czarownica,Maleficent,2014,,7,,USA,"Familijny, Fantasy",2014-9-21
591,651592,Miasta miłości,Third Person,2013,,5,,"Belgia, Francja, Niemcy, USA, Wielka Brytania",Melodramat,2014-9-21
592,661817,Grand Budapest Hotel,The Grand Budapest Hotel,2014,,8,,"Niemcy, USA","Dramat, Komedia",2014-9-18
593,687690,Inna kobieta,The Other Woman,2014,,3,,USA,Komedia,2014-9-16
594,154668,Facet z ogłoszenia,Must Love Dogs,2005,,5,,USA,Komedia rom.,2014-9-15
595,11173,Tramwaj zwany pożądaniem,A Streetcar Named Desire,1951,,4,,USA,Dramat,2014-9-15
596,663000,Teoria wszystkiego,The Zero Theorem,2013,,3,,"Francja, USA, Wielka Brytania, Rumunia","Dramat, Fantasy",2014-9-13
597,104543,Bezdroża,Sideways,2004,,7,,USA,"Dramat, Komedia, Romans",2014-9-11
598,8171,Noc na Ziemi,Night on Earth,1991,,7,,"Francja, Japonia, Niemcy, USA, Wielka Brytania","Dramat, Komedia, Nowele filmowe",2014-9-3
599,31831,K-PAX,,2001,,7,,"Niemcy, USA",Dramat,2014-9-1
600,627173,Bardzo poszukiwany człowiek,A Most Wanted Man,2014,,7,,"Niemcy, USA, Wielka Brytania",Thriller,2014-8-26
601,500687,Jack uczy się pływać,Jack Goes Boating,2010,,8,,USA,"Dramat, Komedia, Romans",2014-8-26
602,595571,Łowca,The Hunter,2011,,6,,Australia,"Dramat, Przygodowy",2014-8-25
603,601430,Sabotaż,Sabotage,2014,,3,,USA,"Thriller, Akcja",2014-8-25
604,565162,Godzilla,,2014,,3,,"Japonia, USA","Akcja, Sci-Fi",2014-8-24
605,656289,72 godziny,3 Days to Kill,2014,,3,,"Francja, USA",Sensacyjny,2014-8-18
606,687712,Lucy,,2014,,4,,Francja,"Akcja, Sci-Fi",2014-8-17
607,663958,Niezniszczalni 3,The Expendables 3,2014,,5,,"Francja, USA, Bułgaria",Akcja,2014-8-17
608,603080,Legendy ringu,Grudge Match,2013,,4,,USA,"Komedia, Sportowy",2014-7-31
609,615202,Kapitan Ameryka: Zimowy Żołnierz,Captain America: The Winter Soldier,2014,,5,,USA,"Akcja, Sci-Fi",2014-7-31
610,376118,Pan Peabody i Sherman,Mr. Peabody & Sherman,2014,,7,,USA,"Animacja, Familijny, Przygodowy",2014-7-29
611,577622,Na skraju jutra,Edge of Tomorrow,2014,,3,,"Kanada, USA","Akcja, Sci-Fi",2014-7-28
612,629764,Niezgodna,Divergent,2014,,5,,USA,"Akcja, Sci-Fi",2014-7-26
613,660451,Pod Mocnym Aniołem,,2014,,5,,Polska,Dramat,2014-7-22
614,688891,Diabelskie nasienie,Devil's Due,2014,,4,,USA,Horror,2014-7-21
615,618929,O czym wiedziała Maisie,What Maisie Knew,2012,,8,,USA,Dramat,2014-7-21
616,622028,Niesamowity Spider-Man 2,The Amazing Spider-Man 2,2014,,3,,USA,"Akcja, Sci-Fi",2014-7-21
617,658470,Need for Speed,,2014,,7,,"Francja, USA, Wielka Brytania, Filipiny",Akcja,2014-7-20
618,643915,Sztuka kradzieży,The Art of the Steal,2013,,7,,"Kanada, USA",Komedia kryminalna,2014-7-17
619,622318,Noe: Wybrany przez Boga,Noah,2014,,3,,USA,"Dramat, Fantasy",2014-7-17
620,633150,"Co jest grane, Davis?",Inside Llewyn Davis,2013,,7,,"Francja, USA, Wielka Brytania","Dramat, Muzyczny",2014-7-17
621,644064,Ewolucja planety małp,Dawn of the Planet of the Apes,2014,,6,,USA,"Dramat, Akcja, Sci-Fi",2014-7-16
622,661559,Eden,,2011,,7,,USA,Dramat obyczajowy,2014-7-1
623,465416,Co cię nie zabije,What Doesn't Kill You,2008,,7,,USA,"Dramat, Kryminał",2014-7-1
624,630808,"X-Men: Przeszłość, która nadejdzie",X-Men: Days of Future Past,2014,,6,,"USA, Wielka Brytania","Akcja, Sci-Fi",2014-6-23
625,571188,Kolonia,The Colony,2013,,4,,Kanada,"Thriller, Sci-Fi",2014-6-16
626,453958,Kobiety pragną bardziej,He's Just Not That Into You,2009,,5,,"Holandia, Niemcy, USA","Dramat, Komedia, Romans",2014-6-16
627,856,Dziewczyna na moście,La fille sur le pont,1999,,7,,Francja,"Dramat, Komedia, Romans",2014-6-15
628,607536,Take Shelter,,2011,,7,,USA,Dramat,2014-6-14
629,694076,Kwiaty na poddaszu,Flowers in the Attic,2014,,7,,"Kanada, USA",Dramat,2014-6-11
630,670682,Transcendencja,Transcendence,2014,,6,,"Chiny, USA, Wielka Brytania","Dramat, Sci-Fi",2014-6-11
631,366721,Wszystko w porządku,The Kids Are All Right,2010,,7,,USA,"Dramat, Komedia",2014-6-7
632,551146,Jack Ryan: Teoria chaosu,Jack Ryan: Shadow Recruit,2014,,3,,"Rosja, USA","Thriller, Akcja",2014-6-7
633,33510,Solaris,,2002,,6,,USA,"Dramat, Sci-Fi",2014-6-7
634,630993,"Długi, wrześniowy weekend",Labor Day,2013,,7,,USA,Dramat,2014-6-7
635,1104,Dziecko Rosemary,Rosemary's Baby,1968,,5,,USA,"Horror, Psychologiczny",2014-5-9
636,208,Życie jest piękne,La vita è bella,1997,,8,,Włochy,"Dramat, Komedia, Wojenny",2014-5-9
637,119410,Źródło,The Fountain,2006,,6,,USA,"Dramat, Psychologiczny",2014-5-5
638,523002,Oldboy. Zemsta jest cierpliwa,Oldboy,2013,,5,,USA,Thriller,2014-4-7
639,649608,Snowpiercer: Arka przyszłości,Snowpiercer,2013,,6,,"Czechy, Francja, USA, Korea Południowa","Thriller, Akcja, Sci-Fi",2014-3-24
640,627599,Igrzyska śmierci: W pierścieniu ognia,The Hunger Games: Catching Fire,2013,,6,,USA,"Akcja, Sci-Fi",2014-3-21
641,578993,Dom w oddali,Axed,2012,,4,,Wielka Brytania,Thriller,2014-3-21
642,668214,Tajemnica Filomeny,Philomena,2013,,7,,"Francja, USA, Wielka Brytania",Dramat,2014-3-17
643,1029,Kasyno,Casino,1995,,8,,"Francja, USA","Dramat, Gangsterski",2014-3-17
644,501993,Władcy umysłów,The Adjustment Bureau,2011,,6,,USA,"Thriller, Romans, Sci-Fi",2014-3-16
645,600590,Sierpień w hrabstwie Osage,August: Osage County,2013,,7,,USA,"Dramat, Komedia",2014-3-16
646,673946,Jack Strong,,2014,,6,,Polska,"Thriller, Szpiegowski",2014-3-10
647,646395,Ona,Her,2013,,7,,USA,"Melodramat, Sci-Fi",2014-2-23
648,631551,Miłość,,2012,,5,,Polska,Dramat obyczajowy,2014-2-21
649,613320,Ocalony,Lone Survivor,2013,,6,,USA,"Dramat, Wojenny",2014-2-21
650,608184,Wałęsa. Człowiek z nadziei,,2013,,6,,Polska,"Biograficzny, Dramat",2014-2-20
651,646208,Z zaskoczenia,Thunderstruck,2012,,4,,USA,"Familijny, Komedia",2014-2-19
652,640445,Najlepsze najgorsze wakacje,The Way Way Back,2013,,4,,USA,"Dramat, Komedia",2014-2-16
653,163903,Gra Endera,Ender's Game,2013,,4,,USA,"Akcja, Sci-Fi",2014-2-13
654,207667,London,,2005,,5,,"USA, Wielka Brytania",Dramat,2014-2-13
655,626169,Prawdziwa miłość,True Love,2012,,3,,"USA, Włochy",Thriller,2014-2-4
656,633104,Drugie życie króla,Arthur Newman,2012,,6,,USA,"Dramat, Komedia",2014-2-3
657,622564,Thor: Mroczny świat,Thor: The Dark World,2013,,4,,USA,"Fantasy, Przygodowy",2014-2-3
658,643366,Kapitan Phillips,Captain Phillips,2013,,7,,USA,"Biograficzny, Dramat",2014-2-1
659,611322,American Hustle,,2013,,8,,USA,"Dramat, Kryminał",2014-2-1
660,657859,Witaj w klubie,Dallas Buyers Club,2013,,8,,USA,"Biograficzny, Dramat",2014-2-1
661,652252,Paranoja,Paranoia,2013,,6,,"Francja, Indie, USA",Thriller,2014-1-29
662,573524,Plan ucieczki,Escape Plan,2013,,6,,USA,"Thriller, Akcja",2014-1-29
663,636397,Zakazane pragnienia,Temptation: Confessions of a Marriage Counselor,2013,,3,,USA,Dramat,2014-1-25
664,646074,Układ,Closed Circuit,2013,,4,,"USA, Wielka Brytania","Dramat, Kryminał",2014-1-25
665,517573,Riddick,,2013,,4,,"USA, Wielka Brytania","Akcja, Sci-Fi",2014-1-22
666,660703,Kumple od kufla,Drinking Buddies,2013,,6,,USA,"Dramat, Komedia, Romans",2014-1-20
667,496157,Ostatnia śmierć,La última muerte,2011,,3,,Meksyk,"Thriller, Sci-Fi",2014-1-19
668,661492,Wyrwani ze snu,Sleeper's Wake,2012,,3,,RPA,Thriller,2014-1-19
669,621733,Następny jesteś ty,You're Next,2011,,5,,"USA, Wielka Brytania",Horror,2014-1-16
670,583006,Mistrz,The Master,2012,,7,,USA,Dramat,2014-1-14
671,625417,Carrie,,2013,,3,,USA,"Dramat, Horror",2014-1-8
672,655799,Porachunki,The Family,2013,,6,,"Francja, USA",Komedia kryminalna,2014-1-2
673,648849,Kamerdyner,The Butler,2013,,7,,USA,"Biograficzny, Dramat",2014-1-2
674,469867,Hobbit: Pustkowie Smauga,The Hobbit: The Desolation of Smaug,2013,,6,,"Nowa Zelandia, USA","Fantasy, Przygodowy",2014-1-2
675,526365,Zniknięcie na 7. ulicy,Vanishing on 7th Street,2010,,2,,USA,Horror,2013-12-14
676,180280,Giganci ze stali,Real Steel,2011,,7,,"Indie, USA","Akcja, Sci-Fi",2013-12-13
677,536707,Klucz Sary,Elle s'appelait Sarah,2010,,6,,Francja,"Dramat, Wojenny",2013-12-12
678,105715,Nawiedzony,Haunted,1995,,8,,"USA, Wielka Brytania",Horror,2013-12-12
679,1241,Bez przebaczenia,Unforgiven,1992,,6,,USA,Western,2013-12-12
680,435340,Ulica Narrows,The Narrows,2008,,6,,USA,"Dramat, Kryminał, Thriller",2013-12-12
681,11904,Zabójstwo,The Killing,1956,,5,,USA,"Kryminał, Film-Noir",2013-12-11
682,647288,Prawie święta,All Is Bright,2013,,6,,USA,"Dramat, Komedia",2013-12-10
683,589332,Czarny koń,Dark Horse,2011,,5,,USA,"Dramat, Komedia",2013-12-10
684,502583,Cop Out: Fujary na tropie,Cop Out,2010,,3,,USA,Komedia kryminalna,2013-12-9
685,436781,Błękitny deszcz,Powder Blue,2009,,6,,USA,Dramat,2013-12-9
686,622060,Oczyszczenie,Puhdistus,2012,,6,,"Finlandia, Estonia",Dramat historyczny,2013-12-7
687,624525,Koneser,La migliore offerta,2013,,6,,Włochy,Dramat,2013-12-7
688,627751,Sztanga i cash,Pain & Gain,2013,,4,,USA,"Akcja, Komedia kryminalna",2013-12-7
689,643707,Empire State: Ryzykowna gra,Empire State,2013,,3,,USA,"Dramat, Akcja",2013-12-6
690,659323,Wypełnić pustkę,Lemale et ha'halal,2012,,7,,Izrael,Dramat,2013-11-28
691,661331,Frances Ha,,2012,,7,,USA,"Dramat, Komedia",2013-11-27
692,624699,Wrong,,2012,,6,,"Francja, USA","Surrealistyczny, Komedia",2013-11-25
693,510953,Czerwony świt,Red Dawn,2012,,3,,USA,Akcja,2013-11-22
694,576014,Dom na końcu ulicy,House at the End of the Street,2012,,2,,"Kanada, USA",Thriller,2013-11-20
695,385852,Miasto ślepców,Blindness,2008,,6,,"Brazylia, Japonia, Kanada","Dramat, Thriller",2013-11-17
696,646045,Adwokat,The Counselor,2013,,3,,"USA, Wielka Brytania","Dramat, Kryminał",2013-11-17
697,645470,Sezon na zabijanie,Killing Season,2013,,3,,"Belgia, USA, Bułgaria","Thriller, Akcja",2013-11-16
698,512238,Nierozłączni,Xing Ying Bu Li,2011,,3,,Chiny,"Dramat, Komedia",2013-11-15
699,643609,Noc oczyszczenia,The Purge,2013,,4,,"Francja, USA","Thriller, Sci-Fi",2013-11-12
700,564230,Grawitacja,Gravity,2013,,7,,"USA, Wielka Brytania","Dramat, Sci-Fi",2013-10-29
701,655221,Stażyści,The Internship,2013,,5,,USA,Komedia,2013-10-20
702,649905,Daję nam rok,I Give It a Year,2013,,7,,Wielka Brytania,Komedia rom.,2013-10-20
703,411786,Zdarzenie,The Happening,2008,,6,,"Indie, USA","Thriller, Sci-Fi",2013-10-18
704,6252,Hudson Hawk,,1991,,6,,USA,"Komedia, Sensacyjny",2013-10-15
705,654022,Świat w płomieniach,White House Down,2013,,5,,USA,"Thriller, Akcja",2013-10-13
