ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,originalTitle,startYear,genre_eng
775006,Tajemnice Silver Lake,Under the Silver Lake,2018,0,4,USA,Kryminał,2019-3-2,2.0,Under the Silver Lake,2018,crime
752098,Wciąż cię widzę,I Still See You,2018,0,5,USA,Thriller,2019-2-12,2.5,I Still See You,2018,thriller
809630,Green Book,,2018,0,7,USA,"Dramat, Komedia",2019-2-11,3.5,,2018,"drama, comedy"
775228,Nigdy cię tu nie było,You Were Never Really Here,2017,0,5,"Francja, USA, Wielka Brytania","Dramat, Thriller",2019-2-10,2.5,You Were Never Really Here,2017,"drama, thriller"
807561,Czarne bractwo. BlacKkKlansman,BlacKkKlansman,2018,0,5,USA,"Biograficzny, Dramat, Kryminał",2019-2-10,2.5,BlacKkKlansman,2018,"biographic, drama, crime"
782196,Pierwszy człowiek,First Man,2018,0,5,"Japonia, USA","Biograficzny, Dramat",2019-2-10,2.5,First Man,2018,"biographic, drama"
10746,Obietnica,The Pledge,2001,0,7,USA,"Dramat, Kryminał",2019-2-9,3.5,The Pledge,2001,"drama, crime"
820784,Wysokie loty,High Flying Bird,2019,0,5,USA,"Dramat, Sportowy",2019-2-9,2.5,High Flying Bird,2019,"drama, sportowy"
808691,Velvet Buzzsaw,,2019,0,4,USA,Horror,2019-2-7,2.0,,2019,horror
549085,Aquaman,,2018,0,5,"Australia, USA","Akcja, Sci-Fi",2019-2-4,2.5,,2018,"action, sci-fi"
31419,Helikopter w ogniu,Black Hawk Down,2001,0,7,"USA, Wielka Brytania","Dramat, Wojenny",2019-2-3,3.5,Black Hawk Down,2001,"drama, war"
759367,Moonlight,,2016,0,7,USA,Dramat,2019-2-2,3.5,,2016,drama
1458,2001: Odyseja kosmiczna,2001: A Space Odyssey,1968,0,9,"USA, Wielka Brytania",Sci-Fi,2019-2-2,4.5,2001: A Space Odyssey,1968,sci-fi
818016,Czarne lustro: Bandersnatch,Black Mirror: Bandersnatch,2018,0,5,"USA, Wielka Brytania","Thriller, Sci-Fi",2019-2-2,2.5,Black Mirror: Bandersnatch,2018,"thriller, sci-fi"
798782,Glass,,2019,0,5,USA,Thriller,2019-2-2,2.5,,2019,thriller
619201,Bohemian Rhapsody,,2018,0,8,"USA, Wielka Brytania","Biograficzny, Dramat, Muzyczny",2019-2-2,4.0,,2018,"biographic, drama, muzyczny"
743233,Spider-Man Uniwersum,Spider-Man: Into the Spider-Verse,2018,0,8,USA,"Animacja, Familijny, Akcja",2019-2-2,4.0,Spider-Man: Into the Spider-Verse,2018,"animacja, familijny, action"
816986,IO,,2019,0,3,USA,Sci-Fi,2019-1-24,1.5,,2019,sci-fi
119043,Autostopem przez galaktykę,The Hitchhiker's Guide to the Galaxy,2005,0,6,"USA, Wielka Brytania","Komedia, Przygodowy, Sci-Fi",2019-1-23,3.0,The Hitchhiker's Guide to the Galaxy,2005,"comedy, przygodowy, sci-fi"
74,Joe Black,Meet Joe Black,1998,0,3,USA,"Fantasy, Melodramat",2019-1-1,1.5,Meet Joe Black,1998,"fantasy, melodramat"
505949,Rozpruci na śmierć,The Happytime Murders,2018,0,5,USA,Komedia kryminalna,2018-12-30,2.5,The Happytime Murders,2018,komedia kryminalna
794051,Szybki jak śmierć,Speed Kills,2018,0,3,USA,"Biograficzny, Thriller",2018-12-29,1.5,Speed Kills,2018,"biographic, thriller"
611085,Tożsamość nieznana,ID:A,2011,0,4,Dania,Thriller,2018-12-28,2.0,ID:A,2011,thriller
810908,Gracze,Joueurs,2018,0,3,Francja,Dramat,2018-12-28,1.5,Joueurs,2018,drama
785869,Ucieczka,The Escape,2017,0,5,Wielka Brytania,Dramat,2018-12-27,2.5,The Escape,2017,drama
726369,Nie otwieraj oczu,Bird Box,2018,0,5,USA,"Thriller, Sci-Fi",2018-12-25,2.5,Bird Box,2018,"thriller, sci-fi"
703619,Sprawa Lucii de B,Lucia de B.,2014,0,6,Holandia,"Thriller, Psychologiczny",2018-12-14,3.0,Lucia de B.,2014,"thriller, psychologiczny"
786216,Eskorta,Mile 22,2018,0,4,USA,Akcja,2018-12-14,2.0,Mile 22,2018,action
742783,Widzę tylko ciebie,All I See Is You,2016,0,5,"USA, Tajlandia",Thriller,2018-12-13,2.5,All I See Is You,2016,thriller
3928,Arlington Road,,1999,0,6,USA,"Dramat, Thriller",2018-12-12,3.0,,1999,"drama, thriller"
519906,Venom,,2018,0,6,"Chiny, USA","Akcja, Sci-Fi",2018-12-2,3.0,,2018,"action, sci-fi"
803615,Creed II,,2018,0,7,USA,"Dramat, Sportowy",2018-12-2,3.5,,2018,"drama, sportowy"
639711,Moja kolacja z Herve,My Dinner with Hervé,2018,0,7,USA,"Biograficzny, Dramat",2018-12-2,3.5,My Dinner with Hervé,2018,"biographic, drama"
763013,Przysięga,Eiðurinn,2016,0,7,Islandia,"Thriller, Psychologiczny",2018-12-2,3.5,Eiðurinn,2016,"thriller, psychologiczny"
662836,Siedmiu wspaniałych,The Magnificent Seven,2016,0,5,USA,Western,2018-12-1,2.5,The Magnificent Seven,2016,western
739951,Skok stulecia,Den of Thieves,2018,0,7,USA,Sensacyjny,2018-11-30,3.5,Den of Thieves,2018,sensacyjny
31210,"Człowiek, którego nie było",The Man Who Wasn't There,2001,0,7,"USA, Wielka Brytania","Dramat, Kryminał",2018-11-24,3.5,The Man Who Wasn't There,2001,"drama, crime"
730791,Embers,,2015,0,7,"Polska, USA",Sci-Fi,2018-11-24,3.5,,2015,sci-fi
765538,Hostiles,,2017,0,4,USA,"Dramat, Western",2018-11-22,2.0,,2017,"drama, western"
325418,Thor,,2011,0,7,USA,"Fantasy, Przygodowy",2018-11-16,3.5,,2011,"fantasy, przygodowy"
430428,Surogaci,Surrogates,2009,0,7,USA,"Thriller, Sci-Fi",2018-11-15,3.5,Surrogates,2009,"thriller, sci-fi"
792197,Pororoca,,2017,0,7,"Francja, Rumunia",Dramat,2018-11-14,3.5,,2017,drama
721,Zakochana złośnica,10 Things I Hate About You,1999,0,7,USA,"Komedia, Dla młodzieży",2018-11-13,3.5,10 Things I Hate About You,1999,"comedy, dla młodzieży"
500232,Greenberg,,2010,0,5,USA,"Dramat, Komedia, Romans",2018-11-13,2.5,,2010,"drama, comedy, romance"
757751,Zanurzeni,Submergence,2017,0,2,"Francja, Hiszpania, Niemcy, USA","Melodramat, Thriller",2018-11-7,1.0,Submergence,2017,"melodramat, thriller"
791088,Berek,Tag,2018,0,6,USA,Komedia,2018-10-22,3.0,Tag,2018,comedy
779305,To przychodzi po zmroku,It Comes at Night,2017,0,7,USA,Horror,2018-10-21,3.5,It Comes at Night,2017,horror
778875,Hotel Artemis,,2018,0,5,"USA, Wielka Brytania","Thriller, Akcja, Sci-Fi",2018-10-17,2.5,,2018,"thriller, action, sci-fi"
755620,Ant-Man i Osa,Ant-Man and the Wasp,2018,0,5,"USA, Wielka Brytania","Akcja, Sci-Fi",2018-10-11,2.5,Ant-Man and the Wasp,2018,"action, sci-fi"
796568,Akt przemocy,Acts of Violence,2018,0,3,Kanada,"Dramat, Akcja",2018-10-11,1.5,Acts of Violence,2018,"drama, action"
214369,Duchy Goi,Goya's Ghosts,2006,0,7,"Hiszpania, USA","Biograficzny, Dramat, Kostiumowy",2018-10-10,3.5,Goya's Ghosts,2006,"biographic, drama, costume"
496780,Ostatnia przystań,The Last Harbor,2010,0,2,USA,Thriller,2018-10-10,1.0,The Last Harbor,2010,thriller
375721,Miasto złodziei,The Town,2010,0,7,USA,"Dramat, Kryminał",2018-10-7,3.5,The Town,2010,"drama, crime"
