ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Komentarz,Kraj produkcji,Gatunek,Data
561591,Kruk. Zagadka zbrodni,The Raven,2012,,5,,"Hiszpania, USA, Węgry, Serbia",Thriller,2012-7-18
106029,Siła strachu,Hide and Seek,2005,,7,,"Niemcy, USA",Thriller,2012-7-17
472258,Iron Sky,,2012,,7,,"Australia, Finlandia, Niemcy","Komedia, Akcja, Sci-Fi",2012-7-17
567959,Łowcy głów,Hodejegerne,2011,,6,,"Niemcy, Norwegia","Kryminał, Thriller",2012-7-17
564225,"Kocha, lubi, szanuje","Crazy, Stupid, Love.",2011,,6,,USA,"Dramat, Komedia, Romans",2012-7-11
401436,Niesamowity Spider-Man,The Amazing Spider-Man,2012,,5,,USA,"Akcja, Sci-Fi",2012-7-11
464479,Zombieland,,2009,,7,,USA,"Horror, Komedia",2012-7-11
517114,Kieł,Kynodontas,2009,,6,,Grecja,Dramat,2012-7-1
136940,Gdzie jest Nancy?,Downloading Nancy,2008,,6,,"Niemcy, USA, Wielka Brytania","Dramat, Thriller",2012-7-1
526285,Lapońska odyseja,Napapiirin sankarit,2010,,3,,"Finlandia, Irlandia, Szwecja","Dramat, Komedia, Romans",2012-7-1
191196,Nie mów nikomu,Ne le dis à personne,2006,,7,,Francja,"Dramat, Thriller, Psychologiczny",2012-7-1
336437,Wojna domowa,Easy Virtue,2008,,6,,"Kanada, Wielka Brytania",Komedia obycz.,2012-7-1
593984,Kobieta na skraju dojrzałości,Young Adult,2011,,3,,USA,"Dramat, Komedia",2012-6-25
506891,Faceci w czerni 3,Men in Black 3,2012,,6,,USA,"Komedia, Sci-Fi",2012-6-21
502896,Odchodząc,Partir,2009,,8,,Francja,Melodramat,2012-6-16
548865,Słodkich snów,Mientras duermes,2011,,7,,Hiszpania,Thriller,2012-6-10
111710,Powrót do Garden State,Garden State,2004,,7,,USA,"Dramat, Komedia, Romans",2012-6-7
561704,Kobieta z piątej dzielnicy,La Femme du Vème,2011,,5,,"Francja, Polska, Wielka Brytania",Thriller,2012-6-7
235677,Jęk czarnego węża,Black Snake Moan,2006,,6,,USA,Dramat,2012-6-5
437521,"Happy-Go-Lucky, czyli co nas uszczęśliwia",Happy-Go-Lucky,2008,,7,,Wielka Brytania,Komedia,2012-6-4
600541,Królewna Śnieżka i Łowca,Snow White and the Huntsman,2012,,6,,USA,"Fantasy, Przygodowy",2012-6-4
562264,Safe House,,2012,,5,,"RPA, USA","Sensacyjny, Thriller",2012-5-25
614257,Dyktator,The Dictator,2012,,7,,USA,Komedia,2012-5-24
487684,Dom w głębi lasu,The Cabin in the Woods,2011,,4,,USA,Horror,2012-5-13
475958,TiMER,,2009,,3,,USA,"Dramat, Fantasy, Komedia, Romans",2012-5-12
272177,Juno,,2007,,7,,USA,"Dramat, Komedia",2012-4-25
31413,Dzień świra,,2002,,8,,Polska,"Dramat, Komedia, Psychologiczny",2012-4-25
463894,W obliczu przeznaczenia,Personal Effects,2009,,4,,"Kanada, Niemcy, USA",Dramat obyczajowy,2012-4-24
99107,Revolver,,2005,,3,,"Francja, Wielka Brytania","Dramat, Kryminał",2012-4-23
506883,Odlot,Twelve,2010,,3,,"Francja, USA","Dramat, Thriller",2012-4-20
32049,Fanatyk,The Believer,2001,,5,,USA,Dramat,2012-4-20
