ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,KrajKod,originalTitle,startYear,genre_eng
655761,Pięćdziesiąt twarzy Greya,Fifty Shades of Grey,2015,0,2,USA,Melodramat,2015-3-31,2015,1.0,['USA'],Fifty Shades of Grey,2015,melodramat
666647,Witching & Bitching,Las Brujas de Zugarramurdi,2013,0,8,"Francja, Hiszpania","Horror, Komedia",2015-3-31,2015,4.0,"['FRA', 'ESP']",Las Brujas de Zugarramurdi,2013,"horror, comedy"
1463,"Elvira, władczyni ciemności",Elvira: Mistress of the Dark,1988,0,6,USA,"Horror, Komedia",2015-3-29,2015,3.0,['USA'],Elvira: Mistress of the Dark,1988,"horror, comedy"
612189,Chappie,,2015,0,8,"RPA, USA","Akcja, Sci-Fi",2015-3-27,2015,4.0,"['UNK', 'USA']",,2015,"action, sci-fi"
7194,Lokator,Le locataire,1976,0,8,Francja,"Thriller, Psychologiczny",2015-3-23,2015,4.0,['FRA'],Le locataire,1976,"thriller, psychologiczny"
686651,Wywiad ze słońcem narodu,The Interview,2014,0,4,USA,"Komedia, Akcja",2015-3-22,2015,2.0,['USA'],The Interview,2014,"comedy, action"
567936,Słowo na M,What If,2013,0,6,"Irlandia, Kanada",Komedia rom.,2015-3-16,2015,3.0,"['IRL', 'CAN']",What If,2013,komedia rom.
664609,Pingwiny z Madagaskaru,Penguins of Madagascar,2014,0,8,USA,"Animacja, Familijny, Komedia, Przygodowy",2015-3-13,2015,4.0,['USA'],Penguins of Madagascar,2014,"animacja, familijny, comedy, przygodowy"
653414,Anioł śmierci,The Woman in Black 2: Angel of Death,2014,0,7,"Kanada, USA, Wielka Brytania","Dramat, Horror",2015-3-12,2015,3.5,"['CAN', 'USA', 'GBR']",The Woman in Black 2: Angel of Death,2014,"drama, horror"
9607,Sliver,,1993,0,6,USA,"Erotyczny, Thriller",2015-2-18,2015,3.0,['USA'],,1993,"erotyczny, thriller"
34072,8 kobiet,8 femmes,2002,0,6,"Francja, Włochy","Musical, Komedia kryminalna",2015-2-18,2015,3.0,"['FRA', 'ITA']",8 femmes,2002,"musical, komedia kryminalna"
11173,Tramwaj zwany pożądaniem,A Streetcar Named Desire,1951,0,8,USA,Dramat,2015-2-16,2015,4.0,['USA'],A Streetcar Named Desire,1951,drama
648940,The Raid 2: Infiltracja,Serbuan maut 2: Berandal,2014,0,5,"USA, Indonezja",Akcja,2015-2-14,2015,2.5,"['USA', 'IDN']",Serbuan maut 2: Berandal,2014,action
